tablet,time,grasped_time
blue,16/04/2016 19:27:24.14,2.06
blue,16/04/2016 19:27:30.04,2.87
blue,16/04/2016 19:27:33.00,2.78
blue,16/04/2016 19:28:22.21,40.09
blue,16/04/2016 19:28:27.15,3.0
blue,16/04/2016 19:28:43.02,4.85
blue,16/04/2016 19:28:59.13,8.03
blue,16/04/2016 19:29:13.18,4.18
blue,16/04/2016 19:29:22.08,6.88
blue,16/04/2016 19:29:35.19,8.08
blue,16/04/2016 19:29:56.06,18.8
blue,16/04/2016 19:30:01.07,2.03
blue,16/04/2016 19:30:05.11,2.9
blue,16/04/2016 19:30:53.19,43.12
blue,16/04/2016 19:31:28.24,34.04
blue,16/04/2016 19:32:45.03,74.8
blue,16/04/2016 19:33:07.22,11.15
blue,16/04/2016 19:33:13.09,5.04
blue,16/04/2016 19:33:19.08,5.05
blue,16/04/2016 19:33:28.11,8.09
blue,16/04/2016 19:33:42.25,14.13
blue,16/04/2016 19:34:07.27,18.15
blue,16/04/2016 19:34:26.14,13.93
blue,16/04/2016 19:34:36.22,6.22
blue,16/04/2016 19:34:59.16,21.09
blue,16/04/2016 19:35:09.00,8.89
blue,16/04/2016 19:35:11.11,2.01
blue,16/04/2016 19:35:51.04,33.03
blue,16/04/2016 19:36:07.10,15.99
blue,16/04/2016 19:36:46.04,38.04
blue,16/04/2016 19:37:34.23,46.23
blue,16/04/2016 19:37:43.08,8.85
